date,puppet,community
2021-10-14,0,1
2021-10-15,0,1
2021-10-16,0,0
2021-10-17,0,0
2021-10-18,0,1
2021-10-19,0,1
2021-10-20,0,1
2021-10-21,0,0
2021-10-22,0,0
2021-10-23,0,0
2021-10-24,0,0
2021-10-25,0,0
2021-10-26,0,0
2021-10-27,0,1
2021-10-28,0,0
2021-10-29,0,0
2021-10-30,0,0
2021-10-31,0,0
2021-11-01,0,2
2021-11-02,0,0
2021-11-03,0,0
